Designator,Mid X,Mid Y,Rotation,Layer
C62,176.4752,-68.873,270.0,top
C63,209.45,-28.75,90.0,top
C64,209.45,-30.75,90.0,top
C65,51.4,-128.6,0.0,top
C66,58.8,-131.6,90.0,top
C67,54.2,-123.0,270.0,top
C68,50.3,-122.3,270.0,top
C69,60.6,-128.4,180.0,top
C7,64.7,-91.3,270.0,top
C70,60.4,-126.0,0.0,top
C71,55.7,-123.8,90.0,top
C72,54.290852,-132.526484,90.0,top
C73,53.2,-123.0,270.0,top
C74,60.4,-127.0,0.0,top
C75,56.7,-123.8,90.0,top
C76,51.9,-122.45,270.0,top
C77,51.32,-130.4,0.0,top
C78,49.6,-123.8,0.0,top
C79,47.0,-123.8,0.0,top
C8,75.15,-95.15,270.0,top
C80,50.45,-136.75,90.0,top
C83,205.2,-98.485,0.0,top
C84,205.2,-99.5,0.0,top
C85,45.8,-43.2,180.0,top
C87,225.7,-81.9,270.0,top
C88,165.35,-141.62,270.0,top
C89,166.35,-141.62,270.0,top
C9,81.3,-91.25,0.0,top
C90,174.8,-141.475,270.0,top
C91,173.55,-141.475,270.0,top
C92,159.6,-141.6,270.0,top
C93,177.05,-141.475,270.0,top
C95,73.7,-52.75,270.0,bottom
C96,46.85,-48.35,180.0,top
C97,86.95,-37.4,270.0,bottom
C98,82.95,-37.4,270.0,bottom
C99,60.2,-62.15,180.0,bottom
D1,215.26,-29.5675,270.0,bottom
D10,44.8,-37.05,0.0,top
D11,44.8,-39.05,0.0,top
D12,44.8,-41.05,0.0,top
D13,48.2,-67.9,180.0,top
D16,74.7,-62.175,270.0,top
D17,44.8,-54.05,0.0,top
D18,44.8,-56.05,0.0,top
D19,44.8,-58.05,0.0,top
D2,214.93,-30.5275,270.0,top
D20,44.8,-60.05,0.0,top
D21,44.8,-62.05,0.0,top
D22,88.75,-34.4,270.0,top
D23,92.75,-34.4,270.0,top
D24,83.45,-34.75,0.0,top
D25,110.4,-32.55,180.0,top
D26,114.3,-39.75,0.0,top
D27,221.9625,-30.7625,270.0,top
D3,209.7,-103.0,90.0,top
D37,222.6,-36.4,180.0,top
D38,212.4,-30.6,90.0,top
D39,222.6,-37.6,180.0,top
D4,210.95,-103.0,90.0,top
D40,218.0,-36.0,270.0,top
D401,207.1,-144.2,270.0,top
D402,195.2,-144.415,270.0,top
D403,176.0,-46.4,0.0,top
D501,221.95,-121.25,90.0,top
D502,220.7,-121.235,90.0,top
D503,220.95,-109.75,270.0,top
D504,219.95,-109.765,270.0,top
D505,209.95,-119.03,270.0,top
D506,210.95,-119.015,270.0,top
D7,181.4,-142.3875,90.0,top
D8,44.8,-33.05,0.0,top
D9,44.8,-35.05,0.0,top
F1,228.6,-85.2,270.0,top
F3,43.1,-44.9,270.0,top
F6,219.4,-32.4,90.0,top
FB1,81.4,-65.2,180.0,top
FB2,46.85,-50.25,0.0,top
FID10,226.0,-28.2,0.0,bottom
FID11,157.2,-32.0,0.0,bottom
FID4,185.95,-150.25,180.0,top
FID5,50.0,-38.8,180.0,bottom
FID6,113.375,-27.4,0.0,top
FID7,64.6,-132.2,0.0,top
FID8,228.4,-78.475,0.0,top
FID9,84.2,-142.2,0.0,bottom
H10,140.8,-119.2,0.0,top
H11,112.2,-119.2,0.0,top
H12,198.4,-32.0,0.0,top
H13,134.8,-32.0,0.0,top
H14,47.55,-112.9,0.0,top
H15,64.8,-79.0,0.0,top
H5_2,150.25,-30.55,0.0,top
H5,150.0,-42.6,0.0,top
H6,140.875,-107.2,0.0,top
H7,168.35,-107.2,0.0,top
H8,168.35,-119.025,0.0,top
H9,112.2,-107.2,0.0,top
J1,126.95,-26.75,270.0,top
J2,140.875,-148.975,180.0,top
J22,56.665,-147.555,0.0,top
J24,168.35,-148.75,180.0,top
J26,70.63,-60.45,0.0,top
J27,60.265,-28.575,90.0,top
J28,91.79,-28.52,90.0,top
J31,112.2,-148.9,180.0,top
J32,215.6,-23.7125,180.0,top
J34,150.25,-72.325,180.0,top
J5,72.725,-146.025,90.0,top
J501,227.77,-114.25,90.0,top
J6,171.875,-37.975,180.0,top
J7,224.575,-98.225,90.0,top
J8,116.4,-82.5,90.0,top
L1,77.7,-82.34,90.0,top
L401,169.0,-44.2,90.0,top
NT1,84.2,-83.0,90.0,top
NT3,82.95,-83.0,90.0,top
P1,50.625,-90.3,270.0,bottom
Q11,227.2,-40.2,270.0,top
Q12,223.4,-40.2,270.0,top
Q13,219.8,-40.2,270.0,top
Q14,178.6,-77.4,180.0,top
Q401,175.2,-50.0,270.0,top
R1,175.95,-80.675,270.0,top
R120,219.4,-43.2,0.0,top
R121,226.8,-43.2,0.0,top
R122,223.0,-43.2,0.0,top
R123,100.627036,-141.417537,90.0,top
R124,225.91,-37.6,180.0,top
R125,181.7,-78.429999,270.0,top
R126,183.9,-78.429999,270.0,top
R127,184.9,-78.429999,270.0,top
R128,186.9,-78.429999,270.0,top
R129,227.2,-36.0,90.0,top
R131,187.9,-78.429999,270.0,top
R132,189.9,-78.429999,270.0,top
R133,220.8,-35.8,270.0,top
R134,190.9,-78.429999,270.0,top
R135,192.9,-78.429999,270.0,top
R136,219.6,-35.8,270.0,top
R137,175.2,-76.4,0.0,top
R138,110.95,-142.0,90.0,top
R139,106.699293,-142.249293,180.0,top
R140,108.7,-142.25,180.0,top
R142,137.1,-71.39,90.0,top
R144,128.075,-147.6,90.0,top
R145,138.325,-141.85,90.0,top
R146,135.825,-141.85,90.0,top
R147,137.075,-141.86,270.0,top
R148,147.85,-64.9,90.0,top
R149,145.35,-64.89,90.0,top
R150,146.6,-64.9,270.0,top
R16,78.45,-91.25,180.0,top
R18,76.45,-91.25,180.0,top
R19,73.2,-87.0,180.0,top
R20,84.2,-86.75,90.0,top
R21,84.2,-84.75,90.0,top
R22,80.7,-87.0,180.0,top
R23,82.95,-84.75,90.0,top
R25,218.0,-32.93,90.0,top
R26,220.8,-33.0,90.0,top
R28,201.4,-49.2,0.0,top
R29,178.950857,-69.92098,0.0,top
R3,126.975,-62.2,180.0,top
R30,55.6,-120.51,270.0,top
R31,54.6,-120.51,270.0,top
R32,48.6,-129.6,0.0,top
R33,50.8,-127.0,90.0,top
R34,66.665,-152.95,0.0,top
