Designator,Mid X,Mid Y,Rotation,Layer
D35,98.999898,-127.417127,0.0,top
D36,101.099898,-131.167127,0.0,top
D37,218.715,-28.65,180.0,top
D38,224.9,-33.85,0.0,top
D39,218.9,-24.1,0.0,top
D4,208.95,-58.75,0.0,top
D40,223.8,-22.85,0.0,top
D5,213.45,-57.6,270.0,top
D6,213.45,-59.5,90.0,top
D7,213.85,-141.7,0.0,top
D8,44.8,-33.05,0.0,top
D9,44.8,-35.05,0.0,top
F1,211.75,-65.8,0.0,top
F2,209.4,-70.05,0.0,top
F3,119.1125,-30.6,180.0,top
F4,119.1,-27.9,180.0,top
F5,118.0,-119.2125,270.0,top
F6,226.55,-25.375,270.0,top
FB2,46.85,-50.25,0.0,top
FID1,58.95,-150.7,0.0,top
FID2,201.12,-23.35,0.0,top
FID8,66.4,-42.45,0.0,top
J1,182.64,-30.8,270.0,top
J2,110.0,-58.275,180.0,top
J22,221.145,-79.645,90.0,top
J23,220.81,-58.4,90.0,top
J24,201.175,-134.6,90.0,top
J26,70.63,-60.45,0.0,top
J27,60.265,-28.575,90.0,top
J28,91.79,-28.52,90.0,top
J31,76.7,-80.225,180.0,top
J32,212.5,-21.670513,180.0,top
J34,49.675,-136.1,270.0,top
J9,48.825,-115.0,90.0,top
JP1,136.05,-134.165,0.0,top
JP2,106.9,-127.05,0.0,top
JP3,111.94,-107.58,90.0,top
L3,125.0,-145.05,0.0,top
L4,109.3,-143.4,180.0,top
P1,50.625,-90.1,270.0,bottom
Q1,131.1,-124.1,180.0,top
Q10,135.55,-148.8,90.0,top
Q11,226.0375,-37.15,180.0,top
Q12,221.05,-29.95,0.0,top
Q13,221.2,-25.75,0.0,top
Q14,219.15,-33.5,0.0,top
Q2,132.9,-127.15,270.0,top
Q3,122.165,-118.75,0.0,top
Q4,119.8,-148.0,180.0,top
Q5,101.6,-119.25,0.0,top
Q6,101.65,-115.0,270.0,top
Q7,109.15,-148.45,180.0,top
Q8,115.4625,-148.95,0.0,top
Q9,130.2,-137.05,270.0,top
R1,144.25,-42.95,270.0,top
R100,123.86,-148.0,0.0,top
R101,100.7,-123.15,90.0,top
R102,101.95,-123.15,90.0,top
R103,106.45,-148.06,90.0,top
R104,119.04,-150.55,180.0,top
R105,107.15,-146.3,0.0,top
R106,130.9,-130.4,0.0,top
R107,114.86,-146.65,0.0,top
R108,102.149898,-126.467127,0.0,top
R109,128.25,-143.71,270.0,top
R110,128.25,-141.7,270.0,top
R111,116.55,-145.51,270.0,top
R112,114.380503,-143.59766,90.0,top
R113,100.599898,-126.967127,90.0,top
R115,106.55,-111.55,90.0,top
R116,101.099898,-129.867127,180.0,top
R118,136.75,-143.7,270.0,top
R120,224.61,-26.4,0.0,top
R121,222.65,-34.85,180.0,top
R122,225.3,-28.45,90.0,top
R123,63.41,-80.25,0.0,top
R124,227.76,-34.05,0.0,top
R125,214.9,-30.830513,270.0,top
R126,213.15,-30.830513,270.0,top
R127,217.55,-30.780513,270.0,top
R128,215.85,-30.830513,270.0,top
R129,226.7,-32.5,180.0,top
R131,212.2,-30.830513,270.0,top
R132,210.6,-30.830513,270.0,top
R133,219.0,-26.95,0.0,top
R134,209.65,-30.830513,270.0,top
R135,208.05,-30.830513,270.0,top
R136,220.75,-22.75,270.0,top
R137,222.1,-36.9,90.0,top
R138,76.05,-73.2,0.0,top
R139,63.04,-74.5,180.0,top
R140,66.15,-73.4,0.0,top
R142,57.7,-140.2,0.0,top
R144,106.7,-66.4,0.0,top
R145,107.75,-51.6,180.0,top
R146,104.3,-50.64,90.0,top
R147,106.1,-50.66,270.0,top
R148,51.9,-123.1,0.0,top
R149,53.05,-149.4,0.0,top
R150,45.81,-149.45,180.0,top
R151,60.7625,-118.05,180.0,top
R2,157.15,-44.0,180.0,top
R3,173.3,-34.8,90.0,top
R30,202.55,-106.6,90.0,top
R31,203.75,-106.6,90.0,top
R32,208.5,-100.6,180.0,top
R33,216.15,-98.45,270.0,top
R34,208.05,-98.55,180.0,top
R35,206.25,-96.31,270.0,top
R37,209.15,-133.0,0.0,top
R39,209.8,-127.9,0.0,top
R4,145.0,-38.425,270.0,top
R40,213.9,-144.3,180.0,top
R41,46.66,-43.75,0.0,top
R42,46.85,-49.3,180.0,top
R43,46.2,-45.2,270.0,top
R44,62.7,-55.85,270.0,top
R45,62.7,-57.95,90.0,top
R46,113.1,-33.45,90.0,top
R48,64.2,-42.35,0.0,top
R50,65.7,-49.65,0.0,bottom
R51,77.65,-47.8,90.0,bottom
R52,63.35,-52.55,45.0,top
R53,46.8,-33.05,90.0,top
R54,46.8,-35.05,90.0,top
R55,46.8,-37.05,90.0,top
R56,46.8,-39.05,90.0,top
R57,46.8,-41.05,90.0,top
R58,50.6,-69.55,90.0,top
R59,50.6,-67.635,90.0,top
R60,79.8,-49.75,180.0,top
R61,76.35,-53.55,180.0,top
R62,90.8,-48.8,90.0,top
R63,90.8,-46.95,270.0,top
R64,75.1,-59.7,90.0,top
R65,74.15,-59.7,90.0,top
R66,46.8,-54.05,270.0,top
R67,46.8,-56.05,270.0,top
R68,46.8,-58.05,270.0,top
R69,46.8,-60.05,270.0,top
R70,46.8,-62.05,270.0,top
R71,96.15,-44.3,270.0,top
R72,110.4,-33.85,180.0,top
R73,108.6,-37.14,270.0,bottom
R74,107.7,-42.75,90.0,top
R75,111.6,-37.15,90.0,bottom
R76,105.3,-42.55,180.0,top
R77,110.6,-37.15,90.0,bottom
R78,105.8,-40.25,90.0,top
R80,110.35,-42.45,90.0,bottom
R82,110.35,-39.65,90.0,bottom
R83,108.7,-42.75,90.0,top
R84,108.7,-40.85,90.0,top
R85,107.7,-40.85,270.0,top
R86,120.55,-122.25,180.0,top
R87,122.75,-122.25,180.0,top
R88,120.6,-123.55,180.0,top
R89,127.95,-127.31,90.0,top
R90,126.35,-127.8,0.0,top
R91,120.6,-125.8,180.0,top
R92,133.06,-135.45,180.0,top
R94,122.75,-124.75,180.0,top
R95,135.69,-139.25,0.0,top
R96,119.2,-145.25,90.0,top
R97,136.74,-140.35,180.0,top
R98,125.9,-118.8,0.0,top
R99,118.0,-143.15,270.0,top
RN1,78.6,-42.35,90.0,top
RN2,78.6,-44.85,90.0,top
RN3,91.0,-38.05,180.0,top
RN4,93.505,-38.05,180.0,top
RN5,98.7,-37.05,0.0,top
RN6,101.205,-37.05,0.0,top
SW1,62.45,-69.43,180.0,top
SW2,111.65,-113.825,180.0,top
SW3,111.5,-119.025,180.0,top
U14,202.4,-101.75,0.0,top
U15,211.9,-61.5,0.0,top
U16,119.0375,-33.95,0.0,top
U17,211.7875,-55.55,0.0,top
U18,49.7,-49.35,180.0,top
U19,57.65,-47.55,0.0,top
U20,64.2,-62.95,0.0,top
U21,60.7,-62.95,0.0,top
U22,71.5,-47.55,270.0,top
U23,49.0,-64.85,180.0,top
U24,53.7,-67.05,90.0,top
U25,53.7,-61.95,90.0,top
U26,78.6,-51.65,180.0,top
U27,83.9,-37.75,180.0,top
U28,83.9,-40.55,180.0,top
U29,83.9,-43.35,180.0,top
U30,83.9,-46.15,180.0,top
U31,87.9,-37.75,180.0,top
U32,87.9,-40.55,180.0,top
U33,87.9,-43.35,180.0,top
U34,87.9,-46.15,180.0,top
U35,100.5,-44.25,270.0,top
U36,111.1,-41.85,0.0,top
U37,111.1,-45.65,180.0,top
U38,111.1,-36.45,180.0,top
U39,126.4875,-124.6,0.0,top
U40,126.4,-133.4,0.0,top
U41,122.2,-140.4,270.0,top
U42,113.85,-140.35,270.0,top
U43,220.0875,-41.45,180.0,top
U44,220.0875,-38.3,0.0,top
Y1,212.6,-99.6,0.0,top
Y2,49.7,-44.45,0.0,top
